year,page_url,doc_url,filename,doc_type
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/bh1.pdf,bh1.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Key_to_Budget_Document_2025.pdf,Key_to_Budget_Document_2025.pdf,full_budget_document
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/allafs.pdf,allafs.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/allafs.xlsx,allafs.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs1.pdf,afs1.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs1.xlsx,afs1.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs2.pdf,afs2.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs2.xlsx,afs2.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs3.pdf,afs3.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs3.xlsx,afs3.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs4.pdf,afs4.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs4.xlsx,afs4.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs5.pdf,afs5.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs5.xlsx,afs5.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs6.pdf,afs6.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs6.xlsx,afs6.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs7.pdf,afs7.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs7.xlsx,afs7.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs8.pdf,afs8.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs8.xlsx,afs8.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs9.pdf,afs9.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/AFS/afs9.xlsx,afs9.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/memo.pdf,memo.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Finance_Bill.pdf,Finance_Bill.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/frbm1.pdf,frbm1.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/OutcomeBudgetE2025_2026.pdf,OutcomeBudgetE2025_2026.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/cus0325.pdf,cus0325.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/cus0425.pdf,cus0425.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/cus0525.pdf,cus0525.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/cus0625.pdf,cus0625.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/cus0725.pdf,cus0725.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/cus0825.pdf,cus0825.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/cus0925.pdf,cus0925.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/cus1025.pdf,cus1025.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/cus1125.pdf,cus1125.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/cus1225.pdf,cus1225.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/cus1325.pdf,cus1325.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/cus0725nt.pdf,cus0725nt.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/cex0125.pdf,cex0125.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/explanatorynote.pdf,explanatorynote.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/cen/dojstru1.pdf,dojstru1.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/impbud2024-25.pdf,impbud2024-25.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/budget_at_a_glance.pdf,budget_at_a_glance.pdf,full_budget_document
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/bag1.pdf,bag1.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/bag1.xlsx,bag1.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/bag2.pdf,bag2.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/bag2.xlsx,bag2.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/bag5.pdf,bag5.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/bag5.xlsx,bag5.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/bag6.pdf,bag6.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/bag6.xlsx,bag6.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/bag3.pdf,bag3.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/bag3.xlsx,bag3.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/bag4.pdf,bag4.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/bag7.pdf,bag7.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_at_Glance/bag7.xlsx,bag7.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/vol1.pdf,vol1.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/intro.pdf,intro.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat1.pdf,stat1.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat1.xlsx,stat1.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat2a.pdf,stat2a.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat2b.pdf,stat2b.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat3a.pdf,stat3a.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat3a.xlsx,stat3a.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat4a.pdf,stat4a.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat4a.xlsx,stat4a.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat4aa.pdf,stat4aa.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat4aa.xlsx,stat4aa.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat4b.pdf,stat4b.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat4b.xlsx,stat4b.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat4c.pdf,stat4c.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat4c.xlsx,stat4c.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat4d.pdf,stat4d.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat4d.xlsx,stat4d.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat5.pdf,stat5.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat5.xlsx,stat5.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat6.pdf,stat6.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat6.xlsx,stat6.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat7.pdf,stat7.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat7.xlsx,stat7.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat8.pdf,stat8.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat8.xlsx,stat8.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat9.pdf,stat9.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat9.xlsx,stat9.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat10a.pdf,stat10a.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat10a.xlsx,stat10a.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat10b.pdf,stat10b.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat10b.xlsx,stat10b.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat10bb.pdf,stat10bb.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat10bb.xlsx,stat10bb.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat10bbb.pdf,stat10bbb.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat10bbb.xlsx,stat10bbb.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat11.pdf,stat11.pdf,demands_for_grants
