year,page_url,pdf_url,filename,language
2024-2025,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/index.php,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/doc/Infographics English.pdf,Infographics English.pdf,english
2024-2025,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/index.php,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/doc/Infographics Hindi.pdf,Infographics Hindi.pdf,hindi
2024-2025,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/index.php,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/doc/echapter.pdf,echapter.pdf,english
2024-2025,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/index.php,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/doc/eschapter/epreface.pdf,epreface.pdf,english
2024-2025,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/index.php,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/doc/eschapter/echap01.pdf,echap01.pdf,english
2024-2025,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/index.php,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/doc/eschapter/echap02.pdf,echap02.pdf,english
2024-2025,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/index.php,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/doc/eschapter/echap03.pdf,echap03.pdf,english
2024-2025,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/index.php,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/doc/eschapter/echap04.pdf,echap04.pdf,english
2024-2025,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/index.php,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/doc/eschapter/echap05.pdf,echap05.pdf,english
2024-2025,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/index.php,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/doc/eschapter/echap06.pdf,echap06.pdf,english
2024-2025,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/index.php,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/doc/eschapter/echap07.pdf,echap07.pdf,english
2024-2025,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/index.php,https://www.indiabudget.gov.in/budget2025-26/economicsurvey/doc/eschapter/echap08.pdf,echap08.pdf,english
