year,budget_speech,budget_document,economic_survey
1947-48,Yes,Yes,No link found in CSVs
1948-49,Yes,Yes,No link found in CSVs
1949-50,Yes,Yes,No link found in CSVs
1950-51,Yes,Yes,No link found in CSVs
1951-52,Yes,No link found in CSVs,No link found in CSVs
1952-53,Yes,Yes,No link found in CSVs
1953-54,Yes,Yes,No link found in CSVs
1954-55,Yes,Yes,No link found in CSVs
1955-56,Yes,Yes,No link found in CSVs
1956-57,Yes,Yes,No link found in CSVs
1957-58,Yes,Yes,Yes
1958-59,Yes,Yes,Yes
1959-60,Yes,Yes,No link found in CSVs
1960-61,Yes,Yes,Yes
1961-62,Yes,Yes,Yes
1962-63,Yes,Yes,Yes
1963-64,Yes,Yes,Yes
1964-65,Yes,Yes,Yes
1965-66,Yes,No link found in CSVs,Yes
1966-67,Yes,Yes,Yes
1967-68,Yes,Yes,Yes
1968-69,Yes,No link found in CSVs,Yes
1969-70,Yes,Yes,Yes
1970-71,Yes,Yes,Yes
1971-72,Yes,Yes,Yes
1972-73,Yes,Yes,Yes
1973-74,Yes,Yes,Yes
1974-75,Yes,Yes,Yes
1975-76,Yes,Yes,Yes
1976-77,Yes,No link found in CSVs,Yes
1977-78,Yes,Yes,Yes
1978-79,Yes,Yes,Yes
1979-80,Yes,Yes,Yes
1980-81,Yes,Yes,Yes
1981-82,Yes,Yes,Yes
1982-83,Yes,Yes,Yes
1983-84,Yes,Yes,Yes
1984-85,Yes,Yes,Yes
1985-86,Yes,Yes,Yes
1986-87,Yes,Yes,Yes
1987-88,Yes,No link found in CSVs,Yes
1988-89,Yes,Yes,Yes
1989-90,Yes,No link found in CSVs,Yes
1990-91,Yes,Yes,Yes
1991-92,Yes,Yes,Yes
1992-93,Yes,Yes,Yes
1993-94,Yes,Yes,Yes
1994-95,Yes,Yes,Yes
1995-96,Yes,Yes,Yes
1996-97,Yes,No link found in CSVs,Yes
1997-98,Yes,No link found in CSVs,
1998-99,Yes,No link found in CSVs,
1999-00,https://www.indiabudget.gov.in/doc/bspeech/bs199900.pdf,No link found in CSVs,
2000-01,Yes,No link found in CSVs,
2001-02,Yes,No link found in CSVs,
2002-03,Yes,No link found in CSVs,
2003-04,Yes,No link found in CSVs,
2004-05,Yes,No link found in CSVs,
2005-06,Yes,No link found in CSVs,
2006-07,Yes,https://www.indiabudget.gov.in/budget_archive/ub2006-07/frbm/frbm1.pdf,
2007-08,Yes,No link found in CSVs,
2008-09,https://www.indiabudget.gov.in/doc/bspeech/bs200809.pdf,No link found in CSVs,
2009-10,https://www.indiabudget.gov.in/doc/bspeech/bs200910.pdf,No link found in CSVs,Yes
2010-11,https://www.indiabudget.gov.in/doc/bspeech/bs201011.pdf,No link found in CSVs,Yes
2011-12,Yes,https://www.indiabudget.gov.in/budget2011-2012/ub2011-12/keybud/keybud2011.pdf,Yes
2012-13,Yes,https://www.indiabudget.gov.in/budget2012-2013/ub2012-13/keybud/keybud2012.pdf,Yes
2013-14,Yes,https://www.indiabudget.gov.in/budget2013-2014/ub2013-14/keybud/keybud2013.pdf,Yes
2014-15,Yes,https://www.indiabudget.gov.in/budget2014-2015/ub2014-15/keybud/keybud2014.pdf,Yes
2015-16,Yes,https://www.indiabudget.gov.in/budget2015-2016/ub2015-16/keybud/keybud2015.pdf,Yes
2016-17,Yes,https://www.indiabudget.gov.in/budget2016-2017/ub2016-17/keybud/keybud2016.pdf,Yes
2017-18,Yes,https://www.indiabudget.gov.in/budget2017-2018/ub2017-18/keybud/keybud2017.pdf,Yes
2018-19,Yes,https://www.indiabudget.gov.in/budget2018-2019/ub2018-19/keybud/keybud2018.pdf,Yes
2019-20,Yes,No link found in CSVs,Yes
2020-21,Yes,No link found in CSVs,Yes
2021-22,Yes,Yes,Yes
2022-23,Yes,Yes,Yes
2023-24,Yes,Yes,Yes
2024-25,Yes,Yes,Yes
2025-26,Yes,Yes,No link found in CSVs
